,Unnamed: 0,precision_wn,recall_wn,precision_cn,recall_cn
96,96,1.0,0.09090909090909093,1.0,1.0
97,97,1.0,1.0,1.0,1.0
98,98,1.0,1.0,1.0,1.0
99,99,1.0,0.09090909090909093,1.0,1.0
100,100,1.0,0.14285714285714285,1.0,1.0
101,101,1.0,1.0,1.0,1.0
102,102,1.0,1.0,1.0,1.0
103,103,1.0,1.0,1.0,1.0
104,104,1.0,1.0,1.0,1.0
105,105,1.0,1.0,1.0,1.0
106,106,1.0,0.03448275862068965,1.0,1.0
107,107,1.0,1.0,1.0,1.0
108,108,1.0,0.125,1.0,1.0
109,109,0.5,0.09523809523809523,0.5,1.0
110,110,1.0,1.0,1.0,1.0
111,111,0.5,1.0,0.5,1.0
112,112,1.0,0.043478260869565216,1.0,1.0
113,113,1.0,0.5,1.0,1.0
114,114,1.0,1.0,1.0,1.0
115,115,1.0,1.0,1.0,1.0
116,116,1.0,1.0,1.0,1.0
117,117,1.0,0.3333333333333333,1.0,1.0
118,118,0.5,0.625,0.5,1.0
119,119,1.0,0.14285714285714285,1.0,1.0
120,120,1.0,0.3333333333333333,1.0,1.0
121,121,1.0,0.5,1.0,1.0
122,122,0.5,1.0,0.5,1.0
123,123,1.0,0.5,1.0,1.0
124,124,1.0,1.0,1.0,1.0
125,125,0.5,1.0,0.5,1.0
126,126,1.0,1.0,1.0,1.0
127,127,0.5,0.2083333333333333,0.5,1.0
128,128,0.5,1.0,0.5,1.0
129,129,1.0,1.0,1.0,1.0
130,130,1.0,1.0,1.0,1.0
131,131,1.0,0.5,1.0,1.0
132,132,1.0,0.14285714285714285,1.0,1.0
133,133,1.0,0.3333333333333333,1.0,1.0
134,134,1.0,0.3333333333333333,1.0,1.0
135,135,1.0,0.25,1.0,1.0
136,136,1.0,1.0,1.0,1.0
137,137,0.5,0.75,0.5,1.0
138,138,1.0,1.0,1.0,1.0
139,139,1.0,1.0,1.0,1.0
140,140,1.0,1.0,1.0,1.0
141,141,1.0,0.3333333333333333,1.0,1.0
